"LocalID","PageID","VisitID","PageName","CatName","CatID","ExtCatName","ExtCatID","TopicName","TopicID","TimeOnPage","PageScore","SequenceNumber"
668169,3790,9590,"tunis-golf-camp-djerba-tunis.htm","Zajezd",3,"Neni",-1,"Golf",25,30,50,2
668170,3465,9592,"it·lie-¯Ìm-vÏËnÈ-mÏsto-dovolen·-metropole-2005.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,30,1
668171,3044,9593,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668172,3056,9593,"pobyty-s-vylety","Hledani",2,"Katalog",5,"Pobyty s vylety",6,30,50,2
668173,4244,9593,"severnÌ-jadran-a-jeho-ostrovy.htm","Zajezd",3,"Neni",-1,"Pobyty s vylety",6,300,629,3
668174,4207,9593,"eern·-hora-alet-moc-beeiei-pobyt-s-v˝lety-v-ceni-z·jezdu-.htm","Zajezd",3,"Neni",-1,"Cerna Hora",12,300,715,4
668175,4597,9593,"maroko-maroko-studen·-zemi-s-hork˝m-sluncem-pozn·vacÌ-z·jezd.htm","Zajezd",3,"Neni",-1,"Hotelbusy",17,30,78,5
668176,3262,9594,"norsko-övÈdsko-norskÈ-fjordy-a-ledovce.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,30,1
668177,3300,9595,"it·lie-sicÌlie-ostrovy-vnit¯nÌho-ohnÏ-(sicÌlie-lipari).htm","Zajezd",3,"Neni",-1,"Turistika",1,30,30,1
668178,3044,9596,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668179,3135,9597,"skotsko-velk˝-okruh-skotskem.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,30,1
668180,3044,9598,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668181,3209,9599,"francie-provence-a-azurovÈ-pob¯eûÌ.htm","Zajezd",3,"Neni",-1,"Skolni zajezdy",7,30,30,1
668182,3999,9600,"zeme~61","Hledani",2,"DleZeme",2,"Obecne",1000,120,120,1
668183,3790,9600,"tunis-golf-camp-djerba-tunis.htm","Zajezd",3,"Neni",-1,"Golf",25,30,50,2
668184,3270,9601,"skolni-kolektivy","Hledani",2,"Katalog",5,"Skolni zajezdy",7,30,30,1
668185,3044,9602,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668186,3065,9603,"n_katalog.asp","Info",4,"Zaslat katalog",7,"Obecne",1000,720,720,1
668187,4593,9604,"n_list.asp","Nezjisten",-2,"n_list.asp",-2,"Nezjisten",-2,30,30,1
668188,3053,9605,"lehka-turistika","Hledani",2,"Katalog",5,"Neni",-1,60,60,1
668190,3058,9605,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,60,125,3
668189,3064,9605,"zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm","Hledani",2,"Rozsirene",3,"Obecne",1000,60,101,2
668191,4578,9606,"elba-korsika-sardinie.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,30,1
668192,3044,9607,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668193,3064,9607,"zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm","Hledani",2,"Rozsirene",3,"Obecne",1000,30,50,2
668194,4598,9608,"skialpinismus-lyzovani","Hledani",2,"Katalog",5,"Lyze",9,30,30,1
668195,3127,9609,"norsko-nejkr·snÏjöÌ-turistickÈ-trasy-st¯ednÌho-norska.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s lehkou turistikou",19,30,30,1
668196,3304,9610,"dolomity-po-rovinÏ-+-dr·vsk·-stezka-rakousko-&-it·lie.htm","Zajezd",3,"Neni",-1,"Cyklo",4,30,30,1
668197,3129,9611,"poznavaci-zajezdy","Hledani",2,"Katalog",5,"Poznavaci zajezdy s ubytovanim",8,30,30,1
668198,3683,9611,"öv˝carsko-kr·sy-öv˝carska-a-alpsk˝ch-velik·n˘.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,50,2
668199,3729,9612,"jak_se_prihlasit.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s lehkou turistikou",19,30,30,1
668200,3061,9613,"silvestr-2004-2005-bi?kaosk˝-silvestr-na-podkarpatskÈ-rusi-zimnÌ-dovolen·-ly?aosk˝-z·jezd.htm","Zajezd",3,"Neni",-1,"Lyze",9,60,60,1
668201,3570,9615,"rumunsko-rumunskem-na-kole-v-klidu-a-pohodÏ-cyklo-z·jezd.htm","Zajezd",3,"Neni",-1,"Cyklo",4,30,30,1
668202,3203,9616,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,30,30,1
668203,3044,9617,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668204,3047,9618,"expedice-hory","Hledani",2,"Katalog",5,"VHT",21,60,60,1
668205,3182,9618,"skialpinismus-lyzovani","Hledani",2,"Katalog",5,"Lyze",9,30,50,2
668206,3044,9619,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668207,3048,9619,"voda","Hledani",2,"Katalog",5,"Voda",2,420,711,2
668208,3044,9620,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
